product_name,category,brand,price,discount_pct,final_price,rating,num_reviews,delivery_time_min,city,stock,sold_quantity,profit_margin_pct,is_organic,demand_index,delivery_status
Tata Organic Grocery 300,Grocery,Tata,199.78,25,149.84,4.5,146,37,Bengaluru,76,241,29.8,TRUE,73,On-Time
Mother Dairy Lite Dairy 275,Dairy,Mother Dairy,44.32,30,31.02,4,264,36,Jaipur,122,28,15.2,FALSE,25,Delayed
P&G Classic Personal 439,Personal Care,P&G,501.13,0,501.13,3.7,69,17,Chennai,126,583,6.6,TRUE,100,On-Time
Dettol Fresh Household 771,Household,Dettol,627.17,0,627.17,3.9,103,23,Delhi,92,33,36.8,TRUE,15,On-Time
Minute Maid Daily Beverages 264,Beverages,Minute Maid,101.69,15,86.44,4.3,422,10,Pune,152,48,14.5,TRUE,6,On-Time
Britannia Premium Snacks 284,Snacks,Britannia,250.33,5,237.81,4.4,451,14,Delhi,114,287,30.5,FALSE,80,On-Time
Britannia Organic Bakery 192,Bakery,Britannia,390.21,0,390.21,3.8,212,33,Lucknow,99,44,16.4,FALSE,12,On-Time
Britannia Premium Bakery 931,Bakery,Britannia,370.21,10,333.19,4.2,37,34,Bengaluru,96,94,22.3,FALSE,34,On-Time
Surf Excel Classic Household 748,Household,Surf Excel,546.6,5,519.27,4.2,165,20,Pune,101,119,31.4,FALSE,20,On-Time
Aashirvaad Fresh Grocery 206,Grocery,Aashirvaad,129.82,0,129.82,3.8,410,24,Bengaluru,138,57,11.5,TRUE,22,On-Time
Harpic Premium Household 296,Household,Harpic,897.93,10,808.14,3.8,164,28,Mumbai,124,198,12.8,TRUE,51,On-Time
Lizol Fresh Household 602,Household,Lizol,163.87,5,155.68,4.1,247,29,Kolkata,104,197,15.5,FALSE,33,On-Time
ITC Premium Snacks 122,Snacks,ITC,92.6,0,92.6,4.2,385,39,Delhi,78,32,22.1,FALSE,14,On-Time
Britannia Family Pack Bakery 876,Bakery,Britannia,493.11,0,493.11,4.8,124,31,Kolkata,92,410,23.8,FALSE,100,Delayed
Tata Lite Grocery 795,Grocery,Tata,63.34,20,50.67,3.7,196,26,Mumbai,94,201,12.9,FALSE,43,Delayed
Patanjali Classic Grocery 101,Grocery,Patanjali,329.68,0,329.68,3.7,560,44,Lucknow,74,39,28.1,FALSE,20,On-Time
Mother Dairy Lite Dairy 52,Dairy,Mother Dairy,211.62,10,190.46,3.4,226,23,Pune,111,16,17.2,FALSE,19,On-Time
Aavin Premium Dairy 101,Dairy,Aavin,192.45,20,153.96,4.3,396,32,Ahmedabad,123,56,5.3,FALSE,32,On-Time
Lay's Classic Snacks 961,Snacks,Lay's,39.43,15,33.52,5,390,29,Kolkata,110,87,31.1,TRUE,26,On-Time
Lizol Original Household 737,Household,Lizol,667.15,20,533.72,4.6,172,33,Pune,96,76,27.1,TRUE,28,On-Time
Britannia Original Snacks 407,Snacks,Britannia,240.5,10,216.45,4.1,487,46,Mumbai,109,206,11.2,FALSE,50,On-Time
Fortune Organic Grocery 168,Grocery,Fortune,471.42,25,353.56,4.1,476,34,Mumbai,131,132,18.5,FALSE,45,Delayed
Modern Premium Bakery 144,Bakery,Modern,428.55,5,407.12,4.3,368,16,Hyderabad,87,234,39.7,FALSE,51,On-Time
Amul Classic Dairy 954,Dairy,Amul,69.42,10,62.48,4.4,462,31,Bengaluru,87,77,33.4,FALSE,23,Delayed
