Product ID,Category,Sub-category,Product Name,Brand Name,Size,Color,Ratings,Customer ID,Customer Age,City,State,Order ID,Customer ID,Product ID,Date,Original Price,Discount%
P0001,Women,Topwear,T-Shirts,Roadster,40,Black,4.00,C001,30,Mumbai,Maharashtra,OD0001,C001,P0001,3/21/2022,349.00,30.00%
P0002,Women,Topwear,T-Shirts,Roadster,40,Blue,5.00,C002,35,Mumbai,Maharashtra,OD0002,C002,P0001,7/7/2021,350.00,30.00%
P0003,Women,Topwear,T-Shirts,Roadster,42,White,3.00,C003,36,Mumbai,Maharashtra,OD0003,C003,P0001,10/3/2021,351.00,30.00%
P0004,Women,Topwear,T-Shirts,Roadster,44,Green,2.00,C004,40,Pune,Maharashtra,OD0004,C004,P0001,3/9/2021,352.00,25.00%
P0005,Women,Topwear,T-Shirts,Puma,38,Olive,5.00,C005,25,Pune,Maharashtra,OD0005,C005,P0001,12/5/2021,353.00,25.00%
P0006,Women,Topwear,T-Shirts,Puma,46,Pink,4.00,C006,16,Pune,Maharashtra,OD0006,C006,P0002,1/17/2022,354.00,30.00%
P0007,Women,Topwear,T-Shirts,Puma,38,Orange,3.00,C007,23,Pune,Maharashtra,OD0007,C007,P0003,2/18/2021,355.00,30.00%
P0008,Women,Topwear,T-Shirts,Puma,38,Beige,5.00,C008,22,Pune,Maharashtra,OD0008,C008,P0004,6/26/2022,356.00,30.00%
P0009,Women,Topwear,T-Shirts,Puma,38,Off white,4.00,C009,17,Hyderabad,Telangana,OD0009,C009,P0005,4/26/2021,2222.00,40.00%
P0010,Women,Topwear,T-Shirts,Puma,38,Purple,2.00,C010,19,Hyderabad,Telangana,OD0010,C010,P0006,3/17/2021,2342.00,40.00%
P0011,Women,Topwear,T-Shirts,Puma,38,Peach,5.00,C011,18,Hyderabad,Telangana,OD0011,C011,P0007,3/30/2021,2241.00,40.00%
P0012,Women,Topwear,T-Shirts,Puma,42,Sea Green,5.00,C012,20,Hyderabad,Telangana,OD0012,C012,P0007,4/9/2022,2253.00,40.00%
P0013,Women,Topwear,T-Shirts,Puma,42,Lavender,4.00,C013,22,Raipur,Chhatisgarh,OD0013,C013,P0007,3/30/2021,2245.00,40.00%
P0014,Women,Topwear,T-Shirts,Puma,42,Black,4.00,C014,25,Raipur,Chhatisgarh,OD0014,C014,P0008,1/31/2022,2231.00,40.00%
P0015,Women,Topwear,T-Shirts,Puma,42,Blue,4.00,C015,27,Ahmedabad,Gujrat,OD0015,C015,P0009,1/12/2021,2452.00,45.00%
P0016,Women,Topwear,T-Shirts,Puma,36,White,3.00,C016,29,Ahmedabad,Gujrat,OD0016,C016,P0010,3/10/2022,2236.00,45.00%
P0017,Women,Topwear,T-Shirts,Puma,36,Green,5.00,C017,23,Ahmedabad,Gujrat,OD0017,C017,P0011,6/9/2021,2245.00,45.00%
P0018,Women,Topwear,T-Shirts,Wrogn,36,Black,4.00,C018,25,Ahmedabad,Gujrat,OD0018,C018,P0012,7/6/2022,2235.00,47.00%
P0019,Women,Topwear,T-Shirts,Wrogn,36,Black,2.00,C019,24,Ahmedabad,Gujrat,OD0019,C019,P0012,4/14/2022,2214.00,47.00%
P0020,Women,Topwear,T-Shirts,Wrogn,40,Orange,5.00,C020,15,Ahmedabad,Gujrat,OD0020,C020,P0012,7/23/2021,2231.00,46.00%
P0021,Women,Topwear,T-Shirts,Wrogn,40,Beige,5.00,C021,19,Vadodara,Gujrat,OD0021,C021,P0013,9/30/2022,2145.00,46.00%
P0022,Women,Topwear,T-Shirts,Wrogn,40,Off white,5.00,C022,19,Vadodara,Gujrat,OD0022,C022,P0014,3/4/2023,2356.00,46.00%
P0023,Women,Topwear,T-Shirts,Wrogn,40,Purple,4.00,C023,19,Vadodara,Gujrat,OD0023,C023,P0015,9/13/2021,2412.00,30.00%
P0024,Women,Topwear,T-Shirts,Wrogn,42,Peach,4.00,C024,22,Vadodara,Gujrat,OD0024,C024,P0016,10/28/2021,2234.00,30.00%
P0025,Women,Topwear,T-Shirts,Wrogn,42,Sea Green,4.00,C025,22,Vadodara,Gujrat,OD0025,C025,P0017,12/20/2021,2214.00,30.00%
P0026,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Lavender,5.00,C026,22,Surat,Gujrat,OD0026,C026,P0018,8/26/2022,999.00,30.00%
P0027,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Black,5.00,C027,22,Surat,Gujrat,OD0027,C027,P0019,5/23/2021,1119.00,30.00%
P0028,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Blue,3.00,C028,29,Surat,Gujrat,OD0028,C028,P0020,1/18/2023,1119.00,35.00%
P0029,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,White,5.00,C029,29,Surat,Gujrat,OD0029,C029,P0021,2/16/2022,1119.00,35.00%
P0030,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Green,5.00,C030,29,Bengaluru,Karnataka,OD0030,C030,P0022,7/10/2021,1119.00,35.00%
P0031,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Olive,4.00,C031,29,Bengaluru,Karnataka,OD0031,C031,P0023,4/4/2021,985.00,35.00%
P0032,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Pink,3.00,C032,41,Bengaluru,Karnataka,OD0032,C032,P0024,3/15/2021,985.00,35.00%
P0033,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Orange,5.00,C033,42,Bengaluru,Karnataka,OD0033,C033,P0024,8/14/2022,985.00,35.00%
P0034,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Beige,4.00,C034,43,Bengaluru,Karnataka,OD0034,C034,P0024,2/20/2021,985.00,40.00%
P0035,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Off white,3.00,C035,44,Bengaluru,Karnataka,OD0035,C035,P0025,12/7/2021,985.00,40.00%
P0036,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Purple,5.00,C036,45,Bengaluru,Karnataka,OD0036,C036,P0026,1/15/2021,369.00,15.00%
P0037,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Peach,5.00,C037,35,Bengaluru,Karnataka,OD0037,C037,P0027,2/13/2021,399.00,15.00%
P0038,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Sea Green,4.00,C038,36,Patna,Bihar,OD0038,C038,P0028,9/22/2021,399.00,15.00%
P0039,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,2.00,C039,37,Patna,Bihar,OD0039,C039,P0029,2/19/2022,399.00,35.00%
P0040,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,3.00,C040,26,Patna,Bihar,OD0040,C040,P0030,3/6/2021,399.00,35.00%
P0041,Women,Topwear,T-Shirts,Adidas,44,Lavender,4.00,C041,27,Patna,Bihar,OD0041,C041,P0031,3/28/2022,555.00,35.00%
P0042,Women,Topwear,T-Shirts,Adidas,44,Lavender,5.00,C042,28,Darbhanga,Bihar,OD0042,C042,P0032,3/26/2023,555.00,35.00%
P0043,Women,Topwear,T-Shirts,Adidas,44,Lavender,4.00,C043,29,Darbhanga,Bihar,OD0043,C043,P0033,6/15/2021,555.00,55.00%
P0044,Women,Topwear,T-Shirts,Adidas,40,Lavender,4.00,C044,30,Darbhanga,Bihar,OD0044,C044,P0034,8/8/2021,555.00,55.00%
P0045,Women,Topwear,T-Shirts,Adidas,40,Black,4.00,C045,31,Nalanda,Bihar,OD0045,C045,P0035,8/23/2022,675.00,55.00%
P0046,Women,Topwear,T-Shirts,Adidas,40,Black,3.00,C046,32,Nalanda,Bihar,OD0046,C046,P0036,6/13/2022,675.00,55.00%
P0047,Women,Topwear,T-Shirts,Adidas,40,Beige,2.00,C047,33,Nalanda,Bihar,OD0047,C047,P0037,6/12/2021,675.00,50.00%
P0048,Women,Topwear,T-Shirts,Adidas,38,Beige,5.00,C048,44,Gaya,Bihar,OD0048,C048,P0038,1/15/2023,654.00,50.00%
P0049,Women,Topwear,T-Shirts,Adidas,38,Beige,4.00,C049,45,Gaya,Bihar,OD0049,C049,P0038,5/20/2021,654.00,50.00%
P0050,Women,Topwear,T-Shirts,Adidas,38,Black,2.00,C050,46,Bhopal,Madhya Pradesh,OD0050,C050,P0038,3/6/2023,654.00,50.00%
P0051,Women,Topwear,T-Shirts,Adidas,38,Blue,5.00,C051,47,Bhopal,Madhya Pradesh,OD0051,C051,P0039,7/26/2021,654.00,50.00%
P0052,Women,Topwear,T-Shirts,Allen Solly,38,Black,5.00,C052,48,Bhopal,Madhya Pradesh,OD0052,C052,P0040,12/7/2022,356.00,30.00%
P0053,Women,Topwear,T-Shirts,Allen Solly,38,Black,4.00,C053,49,Bhopal,Madhya Pradesh,OD0053,C053,P0041,10/28/2022,2235.00,32.00%
P0054,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4.00,C054,17,Sagar,Madhya Pradesh,OD0054,C054,P0042,6/18/2021,1125.00,25.00%
P0055,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4.00,C055,18,Sagar,Madhya Pradesh,OD0055,C055,P0043,2/21/2023,2451.00,45.00%
P0056,Women,Topwear,T-Shirts,Allen Solly,42,Blue,3.00,C056,19,Sagar,Madhya Pradesh,OD0056,C056,P0044,4/7/2021,2263.00,15.00%
P0057,Men,Topwear,T-Shirts,Allen Solly,42,Blue,5.00,C057,20,Sagar,Madhya Pradesh,OD0057,C057,P0045,11/2/2021,1365.00,33.00%
P0058,Women,Topwear,T-Shirts,Allen Solly,46,Black,4.00,C058,21,Indore,Madhya Pradesh,OD0058,C058,P0046,8/8/2021,2453.00,42.00%
P0059,Women,Topwear,T-Shirts,Allen Solly,46,Beige,2.00,C059,22,Indore,Madhya Pradesh,OD0059,C059,P0047,9/7/2022,1555.00,42.00%
P0060,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5.00,C060,16,Kanpur,Uttar Pradesh,OD0060,C060,P0048,9/5/2022,1234.00,39.00%
P0061,Women,Topwear,T-Shirts,Allen Solly,44,Beige,5.00,C061,17,Kanpur,Uttar Pradesh,OD0061,C061,P0049,11/26/2021,2344.00,39.00%
P0062,Men,Topwear,T-Shirts,Allen Solly,44,Beige,5.00,C062,18,Kanpur,Uttar Pradesh,OD0062,C062,P0050,12/23/2021,2142.00,39.00%
