name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Jalsa,Yes,Yes,8,775,800,Buffet
Spice Elephant,Yes,No,6,787,800,Buffet
San Churro Cafe,Yes,No,5,918,800,Buffet
Addhuri Udupi Bhojana,No,No,2,88,300,Buffet
Grand Village,No,No,3,166,600,Buffet
Timepass Dinner,Yes,No,6,286,600,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,2,8,800,Buffet
Onesta,Yes,Yes,3,2556,600,Cafes
Penthouse Cafe,Yes,No,5,324,700,other
Smacznego,Yes,No,9,504,550,Cafes
Village Café,Yes,No,8,402,500,Cafes
Cafe Shuffle,Yes,Yes,7,150,600,Cafes
The Coffee Shack,Yes,Yes,6,164,500,Cafes
Caf-Eleven,No,No,4,424,450,Cafes
San Churro Cafe,Yes,No,2,918,800,Cafes
Cafe Vivacity,Yes,No,6,90,650,Cafes
Catch-up-ino,Yes,No,5,133,800,Cafes
Kirthi's Biryani,Yes,No,6,144,700,Cafes
T3H Cafe,No,No,5,93,300,Cafes
360 Atoms Restaurant And Cafe,Yes,No,4,13,400,Cafes
The Vintage Cafe,Yes,No,5,62,400,Cafes
Woodee Pizza,Yes,No,7,180,500,Cafes
Cafe Coffee Day,No,No,5,28,900,Cafes
My Tea House,Yes,No,8,62,600,Cafes
Hide Out Cafe,No,No,9,31,300,Cafes
CAFE NOVA,No,No,6,11,600,Cafes
Coffee Tindi,Yes,No,5,75,200,Cafes
Sea Green Cafe,No,No,8,4,500,Cafes
Cuppa,No,No,4,23,550,Cafes
Srinathji's Cafe,No,No,7,148,550,Cafes
Redberrys,Yes,No,1,219,600,Cafes
Foodiction,Yes,No,2,506,500,other
Sweet Truth,Yes,No,3,35,500,Dining
Ovenstory Pizza,Yes,No,5,172,750,Dining
Faasos,Yes,No,4,415,500,other
Behrouz Biryani,Yes,No,7,230,650,Dining
Fast And Fresh,Yes,No,5,91,400,Dining
Szechuan Dragon,Yes,No,8,1647,600,Dining
Empire Restaurant,Yes,No,4,4884,750,other
Maruthi Davangere Benne Dosa,Yes,No,7,17,150,Dining
Chaatimes,Yes,No,8,133,200,Dining
Havyaka Mess,No,No,5,28,300,Dining
McDonald's,Yes,No,7,286,500,Dining
Domino's Pizza,Yes,No,4,540,800,Dining
Onesta,Yes,Yes,5,2556,600,other
Hotboxit,No,No,8,36,400,Dining
Kitchen Garden,Yes,No,5,244,300,Dining
Recipe,Yes,No,8,804,450,Dining
Beijing Bites,Yes,No,7,679,850,Dining
Tasty Bytes,Yes,No,9,245,300,Dining
Petoo,No,No,5,21,450,Dining
Shree Cool Point,Yes,No,6,28,150,Dining
Corner House Ice Cream,No,No,5,345,400,Dining
Biryanis And More,Yes,No,5,618,750,Dining
Roving Feast,No,No,6,1047,450,Dining
FreshMenu,Yes,No,5,627,450,Dining
Banashankari Donne Biriyani,Yes,No,7,104,300,Dining
Wamama,Yes,Yes,8,354,800,other
Five Star Chicken,No,No,5,55,200,Dining
XO Belgian Waffle,Yes,No,8,17,400,Dining
Peppy Peppers,No,No,5,244,800,other
Goa 0 Km,Yes,Yes,8,163,800,Dining
Chinese Kitchen,Yes,No,5,58,150,Dining
Jeet Restaurant,No,Yes,8,808,850,Dining
Cake of the Day,No,No,5,78,150,Dining
Kabab Magic,Yes,No,8,1720,400,Dining
Namma Brahmin's Idli,Yes,No,5,34,100,Dining
Gustoes Beer House,No,No,7,868,700,Dining
Sugar Rush,No,No,8,39,300,Dining
Burger King,Yes,No,2,71,600,Dining
The Good Bowl,Yes,No,5,6,500,Dining
The Biryani Cafe,No,No,6,520,300,Dining
Spicy Tandoor,No,No,3,0,150,Dining
LSD Cafe,No,No,2,84,700,other
Rolls On Wheels,No,No,4,299,300,Dining
Om Sri Vinayaka Chats,No,No,5,0,500,Dining
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,7,558,150,Dining
Devanna Dum Biriyani Centre,Yes,No,5,28,300,Dining
Kolbeh,No,No,8,22,500,Dining
Upahar Sagar,No,No,7,39,350,Dining
Kadalu Sea Food Restaurant,Yes,No,5,153,500,Dining
Frozen Bottle,Yes,No,4,146,400,Dining
Parimala Sweets,No,No,5,14,200,Dining
Vaishali Deluxe,No,No,4,42,700,Dining
Chill Out,No,No,5,0,100,Dining
The Big O Bakes,No,No,1,66,300,Dining
Meghana Foods,Yes,No,5,4401,600,Dining
Krishna Sagar,No,No,6,31,200,Dining
Dessert Rose,No,No,5,7,500,Dining
Chickpet Donne Biryani House,No,No,3,21,250,Dining
Me And My Cake,No,No,5,0,500,Dining
Sunsadm,No,No,8,0,400,Dining
Annapooraneshwari Mess,No,No,5,0,200,Dining
Thanco's Natural Ice Creams,No,No,5,9,300,Dining
Nandhini Deluxe,No,No,8,283,600,Dining
Vi Ra's Bar and Restaurant,No,No,5,62,800,Dining
Kaggis,No,No,6,64,250,Dining
Ayda Persian Kitchen,No,No,5,39,950,Dining
Chatar Patar,No,No,3,65,300,Dining
Polar Bear,Yes,No,5,71,400,Dining
Kidambi's Kitchen,No,No,3,52,300,Dining
Mane Thindi,No,No,6,130,200,Dining
Kotian Karavali Restaurant,No,No,3,10,300,Dining
Floured-Baked With Love,No,No,5,45,400,Dining
CAFE NOVA,No,No,2,11,600,Dining
Cakes & Slices,No,No,6,13,300,Dining
Spice 9,No,No,2,8,300,Dining
Coffee Shopee,No,No,9,0,250,Dining
Naveen Kabab & Biriyani Mane,No,No,6,9,300,Dining
Katriguppe Donne Biryani,No,No,5,4,300,Dining
Hari Super Sandwich,No,No,8,0,200,Dining
Atithi Point Ande Ka Funda,No,No,5,29,150,Dining
Just Bake,No,No,8,8,400,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3,0,150,Dining
Cake Bite,No,No,7,0,300,Dining
Aarush's Food Plaza,No,No,9,0,200,Dining
Wood Stove,No,No,6,0,150,Dining
Kulfi & More,No,No,5,0,150,Dining
Kannadigas Karavali,No,No,4,0,250,Dining
K27 - The Pub,No,No,1,30,900,Dining
Bengaluru Coffee House,Yes,No,2,201,300,Dining
New Mangalore Lunch Home,No,No,6,7,200,Dining
Coffee Bytes,No,No,5,6,100,Dining
Parjanya Chat Zone,No,No,8,17,200,Dining
Kwality Wall's Swirl's Happiness Station,No,No,9,25,200,Dining
Soms Kitchen & Bakes,No,No,6,0,400,Dining
Banashankari Nati Style,No,No,5,0,350,Dining
Ruchi Maayaka,No,No,4,8,100,Dining
Mohitesh Hut Roll,No,No,7,0,150,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,8,0,150,Dining
Roll Magic Fast Food,No,No,9,0,200,Dining
Foodlieious Multi Cuisine,No,No,6,0,100,Dining
Thanishka Nati And Karavali Style,No,No,3,0,400,Dining
Swathi Cool Point,No,No,2,0,200,Dining
Kaumudis Juoice,No,No,5,0,150,Dining
Amma - Manae,No,No,8,0,400,Dining
Sri Sai Tiffannies,No,No,7,0,150,Dining
Hotel Andhra Speices,No,No,4,0,250,Dining
Sri Murari Family Restaurant,No,No,1,0,250,Dining
Aramane Donne Biriyani,No,No,2,0,150,Dining
Darkolates,No,No,5,0,200,Dining
Swaada Healthy Kitchen,No,No,9,0,350,Dining
Gawdaru Mane Beriyani,No,No,3,0,300,Dining
Melting Melodies,No,No,6,0,100,Dining
New Indraprasta,No,No,7,0,150,Dining
Anna Kuteera,Yes,No,5,771,450,Dining
Darbar,No,No,9,98,800,Dining
Vijayalakshmi,Yes,No,5,47,200,Dining
